name,date,departure,arrival,time,products,price,weekday,validity,route
ICE_CB_20231108_0742,2023-11-08,07:42,09:35,1:53,['ICE'],49.9,2,1699344000000,CB
ICE_CB_20231108_0942,2023-11-08,09:42,11:35,1:53,['ICE'],49.9,2,1699344000000,CB
ICE_CB_20231108_1342,2023-11-08,13:42,15:35,1:53,['ICE'],75.9,2,1699344000000,CB
ICE_CB_20231108_1540,2023-11-08,15:40,17:35,1:55,['ICE'],59.9,2,1699344000000,CB
ICE_CB_20231108_1741,2023-11-08,17:41,19:35,1:54,['ICE'],59.9,2,1699344000000,CB
ICE_CB_20231108_1941,2023-11-08,19:41,21:35,1:54,['ICE'],49.9,2,1699344000000,CB
ICE_CB_20231109_0742,2023-11-09,07:42,09:35,1:53,['ICE'],37.9,3,1699344000000,CB
ICE_CB_20231109_0942,2023-11-09,09:42,11:35,1:53,['ICE'],37.9,3,1699344000000,CB
ICE_CB_20231109_1342,2023-11-09,13:42,15:35,1:53,['ICE'],49.9,3,1699344000000,CB
ICE_CB_20231109_1540,2023-11-09,15:40,17:35,1:55,['ICE'],41.9,3,1699344000000,CB
ICE_CB_20231109_1741,2023-11-09,17:41,19:35,1:54,['ICE'],59.9,3,1699344000000,CB
ICE_CB_20231109_1941,2023-11-09,19:41,21:35,1:54,['ICE'],49.9,3,1699344000000,CB
ICE_CB_20231110_1050,2023-11-10,10:50,13:35,2:45,['ICE'],80.5,4,1699344000000,CB
ICE_CB_20231110_1451,2023-11-10,14:51,17:35,2:44,['ICE'],80.5,4,1699344060000,CB
ICE_CB_20231110_1651,2023-11-10,16:51,19:35,2:44,['ICE'],80.5,4,1699344060000,CB
ICE_CB_20231110_1941,2023-11-10,19:41,22:35,2:54,['ICE'],57.9,4,1699344060000,CB
ICE_CB_20231110_1946,2023-11-10,19:46,22:35,2:49,"['RE', 'BUS', 'ICE']",52.9,4,1699344060000,CB
ICE_CB_20231111_0851,2023-11-11,08:51,11:35,2:44,['ICE'],49.9,5,1699344060000,CB
ICE_CB_20231111_1050,2023-11-11,10:50,13:35,2:45,['ICE'],41.9,5,1699344060000,CB
ICE_CB_20231111_1443,2023-11-11,14:43,17:35,2:52,['ICE'],62.8,5,1699344060000,CB
ICE_CB_20231111_1447,2023-11-11,14:47,17:35,2:48,"['RE', 'BUS', 'ICE']",37.9,5,1699344060000,CB
ICE_CB_20231111_1637,2023-11-11,16:37,19:35,2:58,['ICE'],27.9,5,1699344060000,CB
ICE_CB_20231111_1647,2023-11-11,16:47,19:35,2:48,"['RE', 'BUS', 'ICE']",28.9,5,1699344060000,CB
ICE_CB_20231111_1941,2023-11-11,19:41,22:35,2:54,['ICE'],37.9,5,1699344060000,CB
ICE_CB_20231111_1946,2023-11-11,19:46,22:35,2:49,"['RE', 'BUS', 'ICE']",31.9,5,1699344060000,CB
ICE_CB_20231112_0840,2023-11-12,08:40,11:35,2:55,"['S', 'ICE']",68.0,6,1699344060000,CB
ICE_CB_20231112_1047,2023-11-12,10:47,13:35,2:48,"['RE', 'ICE']",49.9,6,1699344060000,CB
ICE_CB_20231112_1615,2023-11-12,16:15,19:35,3:20,"['RE', 'ICE']",57.9,6,1699344060000,CB
ICE_CB_20231112_1647,2023-11-12,16:47,19:35,2:48,"['RE', 'BUS', 'ICE']",60.9,6,1699344060000,CB
ICE_CB_20231112_1930,2023-11-12,19:30,22:35,3:05,"['S', 'ICE']",59.9,6,1699344120000,CB
ICE_CB_20231112_1946,2023-11-12,19:46,22:35,2:49,"['RE', 'BUS', 'ICE']",62.9,6,1699344120000,CB
ICE_CB_20231113_1047,2023-11-13,10:47,13:35,2:48,"['RE', 'ICE']",57.9,0,1699344120000,CB
ICE_CB_20231113_1430,2023-11-13,14:30,17:35,3:05,"['S', 'ICE']",68.0,0,1699344120000,CB
ICE_CB_20231113_1447,2023-11-13,14:47,17:35,2:48,"['RE', 'BUS', 'ICE']",68.0,0,1699344120000,CB
ICE_CB_20231113_1620,2023-11-13,16:20,19:35,3:15,"['S', 'ICE']",21.9,0,1699344120000,CB
ICE_CB_20231113_1647,2023-11-13,16:47,19:35,2:48,"['RE', 'BUS', 'ICE']",21.9,0,1699344120000,CB
ICE_CB_20231113_1930,2023-11-13,19:30,22:35,3:05,"['S', 'ICE']",37.9,0,1699344120000,CB
ICE_CB_20231113_1946,2023-11-13,19:46,22:35,2:49,"['RE', 'BUS', 'ICE']",28.9,0,1699344120000,CB
ICE_CB_20231114_1047,2023-11-14,10:47,13:35,2:48,"['RE', 'ICE']",35.9,1,1699344120000,CB
ICE_CB_20231114_1430,2023-11-14,14:30,17:35,3:05,"['S', 'ICE']",59.9,1,1699344120000,CB
ICE_CB_20231114_1447,2023-11-14,14:47,17:35,2:48,"['RE', 'BUS', 'ICE']",62.9,1,1699344120000,CB
ICE_CB_20231114_1620,2023-11-14,16:20,19:35,3:15,"['S', 'ICE']",37.9,1,1699344120000,CB
